,Codigo,lon,lat,Profundidad,Flujo_calor,Pesos,Flux_x_wts,geometry,Sed_thickness (m),Age (Ma)
195,KN12.3,-86.04204999999997,0.717622222,-2663.0,180.0,0.20919566720372668,37.655220096670796,POINT (-86.04204999999997 0.717622222),38.0,2.6
196,KN12.4,-86.0539,0.717622222,-2663.0,218.0,0.20919566720372668,45.60465545041242,POINT (-86.0539 0.717622222),42.0,2.6
197,KN12.5,-86.06669999999998,0.718611111,-2719.0,142.0,0.20919566720372668,29.705784742929193,POINT (-86.06669999999998 0.718611111),42.0,2.6
198,KN12.6,-86.07055,0.7166833334999999,-2700.0,205.0,0.20919566720372668,42.88511177676397,POINT (-86.07055 0.7166833334999999),42.0,2.6
199,KN12.8,-86.08329999999998,0.717622222,-2644.0,109.0,0.20919566720372668,22.80232772520621,POINT (-86.08329999999998 0.717622222),42.0,2.6
200,KN12.9,-86.08329999999998,0.7244444445,-2700.0,151.0,0.20919566720372668,31.588545747762733,POINT (-86.08329999999998 0.7244444445),42.0,2.6
201,KN13.1,-86.09205,0.6058333335,-2739.0,515.0,0.20919566720372668,107.73576860991925,POINT (-86.09205 0.6058333335),62.0,3.0
202,KN14.1,-86.07155,0.6911277779999999,-2762.0,75.0,0.20919566720372668,15.6896750402795,POINT (-86.07155 0.6911277779999999),42.0,2.6
203,KN15.1,-86.08329999999998,0.6696,-2736.0,151.0,0.20919566720372668,31.588545747762733,POINT (-86.08329999999998 0.6696),42.0,2.6
204,KN15.10,-86.07155,0.6558333335000001,-2679.0,954.0,0.20919566720372668,199.57266651235528,POINT (-86.07155 0.6558333335000001),42.0,2.6
205,KN15.11,-86.07155,0.6548444445,-2685.0,331.0,0.20919566720372668,69.24376584443353,POINT (-86.07155 0.6548444445),42.0,2.6
206,KN15.12,-86.07155,0.6548444445,-2687.0,385.0,0.20919566720372668,80.54033187343477,POINT (-86.07155 0.6548444445),42.0,2.6
207,KN15.13,-86.07055,0.6539055555,-2700.0,456.0,0.20919566720372668,95.39322424489937,POINT (-86.07055 0.6539055555),42.0,2.6
