,Codigo,lon,lat,Profundidad,Flujo_calor,Pesos,Flux_x_wts
132,CCTW12,-83.55079999999998,2.8022222219999997,-3205.0,47.3,0.716294339932193,33.88072227879273
133,CCTW13,-83.46859999999998,2.484444444,-3082.0,162.0,0.716294339932193,116.03968306901527
134,CCTW14,-83.4175,2.235277778,-3267.0,48.6,0.5847096547760783,28.416889222117405
135,CCTW15,-83.5,1.9836111109999999,-3028.0,219.0,0.5847096547760783,128.05141439596113
136,CCTW16,-83.5339,1.7358333330000002,-3324.0,103.0,0.5847096547760783,60.225094441936065
137,CCTW17,-83.46779999999998,1.500833333,-3456.0,167.0,0.5847096547760783,97.64651234760507
138,CCTW18,-83.4847,1.234166667,-3459.0,190.0,0.5362692558892515,101.89115861895777
139,CCTW19,-83.5019,0.984722222,-3268.0,159.0,0.5362692558892515,85.26681168639098
140,CCTW2,-83.4858,5.018888888999999,-3277.0,121.0,1.3405093990061372,162.2016372797426
141,CCTW20,-83.5,0.7344444440000001,-3706.0,150.0,0.5362692558892515,80.44038838338771
142,CCTW22,-83.5017,0.385,-3107.0,152.0,0.5362692558892515,81.51292689516622
143,CCTW23,-83.5192,-0.017222222,-3020.0,149.0,0.9008602995606108,134.228184634531
144,CCTW3,-83.5019,4.633333333,-3235.0,22.2,1.3405093990061372,29.759308657936245
145,CCTW4,-83.54999999999998,4.484444444,-3201.0,54.8,1.3405093990061372,73.45991506553631
146,CCTW5,-83.50029999999998,4.233888889,-3030.0,87.09999999999998,0.9830146514874836,85.6205761445598
147,CCTW8,-83.6692,3.6344444439999997,-3037.0,60.3,0.7108539505504687,42.86449321819326
148,COCOTOW4-HF1,-83.4933,5.265,-3211.0,146.0,2.025976878680938,295.7926242874169
149,COCOTOW4-HF12,-83.555,2.8133,-3205.0,47.0,0.716294339932193,33.665833976813076
150,COCOTOW4-HF13,-83.4783,2.49,-3082.0,162.0,0.716294339932193,116.03968306901527
151,COCOTOW4-HF14,-83.4217,2.245,-3267.0,49.0,0.5847096547760783,28.650773084027836
152,COCOTOW4-HF15,-83.5,1.985,-3028.0,220.0,0.5847096547760783,128.6361240507372
153,COCOTOW4-HF16,-83.53669999999998,1.7483,-3324.0,103.0,0.5847096547760783,60.225094441936065
154,COCOTOW4-HF17,-83.47329999999998,1.505,-3456.0,167.0,0.5847096547760783,97.64651234760507
155,COCOTOW4-HF18,-83.49169999999998,1.2383,-3459.0,190.0,0.5362692558892515,101.89115861895777
156,COCOTOW4-HF19,-83.5117,0.9917,-3268.0,159.0,0.5362692558892515,85.26681168639098
157,COCOTOW4-HF2,-83.4983,5.03,-3277.0,122.0,1.3405093990061372,163.54214667874874
158,COCOTOW4-HF20,-83.5,0.74,-3706.0,150.0,0.5362692558892515,80.44038838338771
159,COCOTOW4-HF21,-83.51,0.3933,-3107.0,152.0,0.5362692558892515,81.51292689516622
160,COCOTOW4-HF23,-83.5317,-0.02,-3020.0,149.0,0.9008602995606108,134.228184634531
161,COCOTOW4-HF3,-83.5117,4.6333,-3235.0,22.0,1.3405093990061372,29.49120677813502
162,COCOTOW4-HF4,-83.54999999999998,4.49,-3201.0,55.0,1.3405093990061372,73.72801694533754
163,COCOTOW4-HF5,-83.5017,4.2367,-3030.0,87.0,0.9830146514874836,85.52227467941107
164,COCOTOW4-HF8,-83.6817,3.64,-3037.0,60.0,0.7108539505504687,42.651237033028124
165,DSDP501,-83.73429999999999,1.2225166664999998,-3457.0,194.0,0.26410855495223645,51.23705966073387
166,DSDP504A,-83.72545,0.22251666650000002,-3458.0,219.0,0.6286995986235957,137.68521209856746
167,DSDP504B,-83.72445,1.2225166664999998,-3460.0,192.0,0.26410855495223645,50.7088425508294
168,DSDP504C,-83.72545,1.2225166664999998,-3460.0,193.0,0.26410855495223645,50.97295110578163
169,DSDP505,-83.78720000000001,1.907761111,-3537.0,21.0,0.3125489538390634,6.563528030620331
170,DSDP506E,-86.0882,0.6058333335,-2703.0,570.0,0.20919566720372668,119.2415303061242
171,DSDP506F,-86.0882,0.6058333335,-2712.0,620.0,0.20919566720372668,129.70131366631054
172,DSDP507A,-86.0872,0.5666833335,-2691.0,436.0,0.20919566720372668,91.20931090082483
173,DSDP507E,-86.0872,0.5666833335,-2689.0,327.0,0.20919566720372668,68.40698317561862
174,DSDP507G,-86.0872,0.5666833335,-2695.0,404.0,0.20919566720372668,84.51504955030558
175,DSDP507I,-86.0872,0.5666833335,-2692.0,374.0,0.20919566720372668,78.23917953419378
176,DSDP508A,-86.09999999999998,0.5333166665,-2783.0,205.0,0.20919566720372668,42.88511177676397
177,DSDP508D,-86.09999999999998,0.5333166665,-2777.0,228.0,0.20919566720372668,47.69661212244968
178,DSDP508E,-86.09999999999998,0.5333166665,-2777.0,177.0,0.20919566720372668,37.02763309505962
179,DSDP509C,-86.12545,0.5862333335000001,-2687.0,532.0,0.20919566720372668,111.2920949523826
180,DSDP509D,-86.12545,0.587222222,-2687.0,509.0,0.20919566720372668,106.48059460669688
181,DSDP510,-86.40584999999999,1.6077611109999999,-2781.0,193.0,0.2576360660905537,49.72376075547686
182,GSC-86W,-86.0,0.5833166665,-2700.0,295.0,0.20919566720372668,61.71272182509937
183,KN1.1,-86.17249999999999,0.75,-2850.0,264.0,0.20919566720372668,55.22765614178384
184,KN1.2,-86.17154999999998,0.7420666665,-2852.0,88.0,0.20919566720372668,18.40921871392795
185,KN1.3,-86.1696,0.741127778,-2858.0,46.0,0.20919566720372668,9.623000691371427
186,KN1.4,-86.15775,0.740138889,-2848.0,29.0,0.20919566720372668,6.066674348908074
187,KN1.5,-86.15584999999999,0.740138889,-2850.0,71.0,0.20919566720372668,14.852892371464595
188,KN1.7,-86.15100000000001,0.740138889,-2829.0,4.0,0.20919566720372668,0.8367826688149067
189,KN11.1,-86.09015,0.588211111,-2751.0,640.0,0.20919566720372668,133.88522701038508
190,KN12.1,-86.03625,0.721527778,-2653.0,239.0,0.20919566720372668,49.99776446169068
191,KN12.10,-86.07249999999999,0.7244444445,-2681.0,197.0,0.20919566720372668,41.21154643913415
192,KN12.11,-86.07055,0.737222222,-2681.0,84.0,0.20919566720372668,17.57243604511304
193,KN12.12,-86.07055,0.740138889,-2681.0,38.0,0.20919566720372668,7.949435353741614
194,KN12.2,-86.04015000000001,0.7196,-2653.0,243.0,0.20919566720372668,50.834547130505584
195,KN12.3,-86.04204999999999,0.717622222,-2663.0,180.0,0.20919566720372668,37.6552200966708
196,KN12.4,-86.0539,0.717622222,-2663.0,218.0,0.20919566720372668,45.604655450412416
197,KN12.5,-86.06669999999998,0.718611111,-2719.0,142.0,0.20919566720372668,29.70578474292919
198,KN12.6,-86.07055,0.7166833335,-2700.0,205.0,0.20919566720372668,42.88511177676397
199,KN12.8,-86.08329999999998,0.717622222,-2644.0,109.0,0.20919566720372668,22.802327725206208
200,KN12.9,-86.08329999999998,0.7244444445,-2700.0,151.0,0.20919566720372668,31.58854574776273
201,KN13.1,-86.09205,0.6058333335,-2739.0,515.0,0.20919566720372668,107.73576860991923
202,KN14.1,-86.07155,0.691127778,-2762.0,75.0,0.20919566720372668,15.6896750402795
203,KN15.1,-86.08329999999998,0.6696,-2736.0,151.0,0.20919566720372668,31.58854574776273
204,KN15.10,-86.07155,0.6558333335,-2679.0,954.0,0.20919566720372668,199.57266651235526
205,KN15.11,-86.07155,0.6548444445,-2685.0,331.0,0.20919566720372668,69.24376584443353
206,KN15.12,-86.07155,0.6548444445,-2687.0,385.0,0.20919566720372668,80.54033187343477
207,KN15.13,-86.07055,0.6539055555,-2700.0,456.0,0.20919566720372668,95.39322424489936
208,KN15.14,-86.07055,0.6529166665,-2709.0,301.0,0.20919566720372668,62.96789582832173
209,KN15.15,-86.06859999999999,0.651927778,-2711.0,364.0,0.20919566720372668,76.14722286215651
210,KN15.16,-86.0676,0.650988889,-2730.0,293.0,0.20919566720372668,61.29433049069192
211,KN15.17,-86.06669999999998,0.65,-2734.0,255.0,0.20919566720372668,53.3448951369503
212,KN15.18,-86.06669999999998,0.65,-2732.0,172.0,0.20919566720372668,35.981654759040985
213,KN15.19,-86.06669999999998,0.6420666665,-2732.0,293.0,0.20919566720372668,61.29433049069192
214,KN15.2,-86.08329999999998,0.668611111,-2726.0,209.0,0.20919566720372668,43.721894445578876
215,KN15.20,-86.06669999999998,0.6401388889999999,-2736.0,264.0,0.20919566720372668,55.22765614178384
216,KN15.21,-86.05775,0.638211111,-2730.0,661.0,0.20919566720372668,138.27833602166334
217,KN15.22,-86.05584999999999,0.638211111,-2730.0,272.0,0.20919566720372668,56.90122147941366
218,KN15.23,-86.0539,0.637222222,-2726.0,486.0,0.20919566720372668,101.66909426101117
219,KN15.24,-86.05099999999999,0.63915,-2730.0,272.0,0.20919566720372668,56.90122147941366
220,KN15.3,-86.07544999999999,0.667622222,-2747.0,327.0,0.20919566720372668,68.40698317561862
221,KN15.4,-86.07544999999999,0.6666833335,-2668.0,636.0,0.20919566720372668,133.04844434157016
222,KN15.5,-86.07544999999999,0.65875,-2664.0,490.0,0.20919566720372668,102.50587692982607
223,KN15.6,-86.07445,0.656822222,-2663.0,850.0,0.20919566720372668,177.81631712316766
224,KN15.7,-86.07345000000001,0.656822222,-2668.0,477.0,0.20919566720372668,99.78633325617763
