,Codigo,lon,lat,Profundidad,Flujo_calor,HFU,Pesos,Flux_x_wts,geometry,Sed_thickness (m),Age (Ma),Etapa_termica,No_etapa,Lister HFU,obs-teo HFU,Clasificador,No_class
11,40HF36,-87.49115,2.6420666665,-1910.0,105.0,2.5077621208502507,0.7922697878403634,83.18832772323816,POINT (-87.49115 2.6420666665),194.0,6.5,Miocene,3,4.706787243316417,-2.1990251224661663,Neutro,2
12,42HF37,-87.58429999999998,2.3548444445,-2593.0,143.0,3.4153331741103417,0.7922697878403634,113.29457966117195,POINT (-87.58429999999998 2.3548444445),199.0,5.3,Pliocene,2,5.212466913156832,-1.7971337390464903,Neutro,2
13,43HF38,-87.73819999999998,2.3234555555000003,-2580.0,159.0,3.79746835443038,1.1477032432738214,182.4848156805376,POINT (-87.73819999999998 2.3234555555),180.0,4.9,Quaternary,1,5.421047417431507,-1.6235790630011269,Neutro,2
14,44HF39,-87.8725,2.567622222,-2682.0,18.2,0.4346787676140435,1.1477032432738214,20.88819902758355,POINT (-87.8725 2.567622222),115.0,6.2,Late Jurassic,10,4.819315973414993,-4.384637205800949,Frío,1
15,46HF41,-88.62444999999998,5.2696000000000005,-3050.0,148.0,3.5347504179603537,2.9996897645233376,443.954085149454,POINT (-88.62444999999998 5.269600000000001),311.0,13.1,Quaternary,1,3.315473783973226,0.21927663398712793,Neutro,2
16,A254-1,-83.42545000000001,4.8843055555,-3395.0,154.0,3.678051110580368,1.3405093990061372,206.4384474469452,POINT (-83.42545000000001 4.8843055555),205.0,6.2,Quaternary,1,4.819315973414993,-1.1412648628346247,Neutro,2
17,AC9-52,-82.6833,-2.5333333330000003,-2957.0,117.0,2.7943635060902796,3.375939705049899,394.9849454908382,POINT (-82.6833 -2.533333333),447.0,24.1,Quaternary,1,2.444402531180131,0.34996097491014844,Neutro,2
20,AL721.11,-86.09205,0.6058333335,-2706.0,402.0,9.60114640554096,0.20919566720372668,84.09665821589812,POINT (-86.09205 0.6058333335),62.0,3.0,Miocene,3,6.928203230275509,2.672943175265452,Neutro,2
21,AL721.12,-86.09205,0.606822222,-2728.0,339.0,8.09648913303081,0.20919566720372668,70.91733118206334,POINT (-86.09205 0.606822222),62.0,3.0,Oligocene,4,6.928203230275509,1.1682859027553008,Neutro,2
22,AL721.13,-86.09205,0.606822222,-2723.0,352.0,8.406973967040841,0.20919566720372668,73.6368748557118,POINT (-86.09205 0.606822222),62.0,3.0,Miocene,3,6.928203230275509,1.4787707367653322,Neutro,2
23,AL721.14,-86.09205,0.606822222,-2719.0,1398.0,33.38906138046334,0.20919566720372668,292.4555427508098,POINT (-86.09205 0.606822222),62.0,3.0,Quaternary,1,6.928203230275509,26.460858150187832,Caliente,3
25,AL721.2,-86.09205,0.6058333335,-2730.0,402.0,9.60114640554096,0.20919566720372668,84.09665821589812,POINT (-86.09205 0.6058333335),62.0,3.0,Miocene,3,6.928203230275509,2.672943175265452,Neutro,2
26,AL721.3,-86.09205,0.6058333335,-2734.0,268.0,6.40076427036064,0.20919566720372668,56.064438810598745,POINT (-86.09205 0.6058333335),62.0,3.0,Middle Cretaceous,8,6.928203230275509,-0.5274389599148686,Neutro,2
